dest,2018_week_dest_mean_arr_delay,2018_week_dest_std_arr_delay,2018_week_dest_skew_arr_delay,2018_month_dest_mean_arr_delay,2018_month_dest_std_arr_delay,2018_month_dest_skew_arr_delay,2019_week_dest_mean_arr_delay,2019_week_dest_std_arr_delay,2019_week_dest_skew_arr_delay,2019_month_dest_mean_arr_delay,2019_month_dest_std_arr_delay,2019_month_dest_skew_arr_delay
CGI,1.5,46.94737006005295,2.7367703543406123,-7.311111111111111,29.62325731139932,2.476862412126082,4.0,26.770630673681683,1.2918269904568465,12.666666666666666,44.40466409678591,1.5993814574199867
CHA,12.722222222222221,34.001942446455764,1.583734720484043,6.705109489051095,32.61180570768465,2.180465199571324,2.2325581395348837,26.874268402871586,1.7963407475085265,1.4981084489281211,29.08504265105136,2.2434904215884957
CHO,4.6371681415929205,24.781567872002977,1.8767332138383144,3.4291044776119404,31.265438981574512,2.0940921643288206,-3.1824324324324325,24.108043979535395,3.0755524078565997,0.8903225806451613,32.32734783913731,2.4831225501023315
CHS,10.50909090909091,30.47982503106952,1.7039574959417185,0.9183955739972337,28.868996200863833,2.1450539717071524,-0.451685393258427,27.992687721023607,2.2035684427193023,0.8194826637314254,28.343382851987357,2.3711061007376983
CID,8.24712643678161,32.54098114873996,1.4923421547189728,0.24342105263157895,30.905738092504897,1.9484111664351975,-1.9770114942528736,29.1608959049057,2.3297116310689363,3.559228650137741,30.90517093589053,2.25058837510411
CIU,16.75,46.0693646975554,1.1107185040586902,12.666666666666666,43.72555921085386,1.0105710110893422,-29.083333333333332,11.098389181509287,0.6728615582810498,-4.037735849056604,47.17559761316916,2.094594892709337
CKB,-3.5454545454545454,13.530437068798896,-0.3399884264701891,-10.62295081967213,21.1913220717241,0.718824590851388,-7.9375,14.703599332589736,0.693701178648734,3.5,31.36413701840194,1.4083797055932716
CLE,7.1499380421313505,28.96504390824531,1.948530803054975,0.27277459656428943,27.51738525143643,2.1267102976500216,-1.8532423208191127,26.75677310329761,2.477435513028661,2.450457516339869,31.86415687135331,2.2468864055854776
CLL,0.41025641025641024,27.112550937777435,2.4532178973667884,-2.9565217391304346,22.397083466962545,2.533383396460194,0.1794871794871795,17.661840809573786,2.080951703403234,-3.164705882352941,18.277186645874433,2.3625786624136467
CLT,2.043732460243218,27.13936663828892,2.300162577511395,-0.825386493083808,25.53082210278958,2.5263983313655993,-3.3863348797975537,23.11093280330902,2.5454996523835396,-2.7740674779855548,24.4341363780234,2.5095732117685947
CMH,10.431168831168831,31.742602057299546,1.9664498875187981,2.7903179604697796,30.045192859551417,2.192754991764006,-2.2593457943925235,25.06689121851745,2.246921535348271,1.597214636810486,29.31013647881561,2.2129312785239126
CMI,7.388888888888889,34.043488650501956,1.2959261194578775,5.459677419354839,32.64839040208472,1.4415591633991374,15.0,34.51312149828751,1.384530283992584,12.719780219780219,34.36726477840824,1.7430393175069068
CMX,38.666666666666664,49.16823315429538,0.9927713979472848,7.910714285714286,33.5658250366293,2.002870205448827,7.5,19.48470800791857,1.2800886609989068,11.191489361702128,39.10778766983926,1.94976518295632
COD,-15.307692307692308,10.570277632624851,0.5732189159240177,-15.0,12.25713213339863,0.5139887488276685,2.5,28.166711493598896,2.240805512321449,5.3559322033898304,34.98756562959161,2.1299406576635396
COS,5.608695652173913,34.07340052075372,2.098440273842683,-0.06795016987542468,31.037208358831702,2.2999289650066332,8.23463687150838,31.614083162750894,1.5719285012936242,3.808764940239044,31.194407192555225,1.9371645680780252
COU,9.840909090909092,32.149319629545914,1.3430895900732642,0.45226130653266333,26.07616045069837,2.2786613507505304,17.8125,39.56339176669647,0.8930556841407314,13.297142857142857,35.4007069034092,1.687494729549293
CPR,-1.7837837837837838,29.75374405491325,2.026782385838619,-2.0434782608695654,32.254718225805156,2.356049738658375,-3.7222222222222223,32.7401990666006,2.4125231534543383,-2.3594771241830066,30.33271951884653,2.054092277912392
CRP,3.7096774193548385,35.193434616590096,2.1123911166094516,-0.1206896551724138,26.28594358474668,2.8534951774647905,7.73,30.552440428902177,1.4957381200241937,-2.7732426303854876,22.191384705404698,2.468573376812237
CRW,10.855555555555556,41.89461393370492,1.9844036829703822,-0.5607940446650124,30.96624950366364,2.4883226439772304,1.7272727272727273,27.51999368180531,2.4368268808220743,4.325396825396825,25.44516005582427,2.332652158559316
CSG,7.5,39.82992690080007,3.1629391436318786,-1.0759493670886076,28.651205797285897,3.6041021617872806,-5.142857142857143,16.869896460660527,2.7025846802249514,-2.5185185185185186,25.350597187793777,3.5952291477533787
CVG,6.638655462184874,33.589443783330985,2.0368331589007056,0.8126018468223791,30.73101349191456,2.2609678455852094,-1.2230483271375465,27.520077293128114,2.295419954522433,1.7628205128205128,30.744269299187323,2.1605243269991994
CWA,3.4782608695652173,28.184896767543812,1.8917783432556687,1.0204918032786885,30.09442598683848,2.2234788944206043,-5.912280701754386,22.784926644725324,1.3749760889850873,-2.81140350877193,23.771015774952225,1.3522808119379877
DAB,8.474576271186441,24.986448694279087,1.3444691376386,4.51792828685259,24.266740145533277,1.920064677529022,0.13333333333333333,17.80160597084552,1.9320236730296703,-0.7635658914728682,17.768351342033096,2.8811940831871743
DAL,-0.32570556826849734,23.07091496549942,2.2286785055454015,-2.88469422617014,20.736676864960526,2.4412176179725282,2.719429857464366,24.527747766264728,2.029527044925059,-3.2927385216541842,21.27131690796782,2.58820218232909
DAY,13.70722433460076,35.178414197805765,1.6210861525180713,5.507509881422925,33.352288397377954,1.8493847648563644,-1.9581881533101044,29.432244000679304,2.4212404623565402,2.16852146263911,31.119860583118694,2.143275791916069
DBQ,19.5,39.202715992345105,1.652604661706494,8.097560975609756,28.164687529020227,1.9414653300407805,3.1904761904761907,27.661560056546065,2.065371477311358,8.853333333333333,30.021025665056516,1.8537974694284
DCA,7.250119104335398,31.334290991348688,1.954971727422286,1.7463121471498817,30.82202159751389,2.1763584141515357,-4.162740899357602,25.46008653156187,2.66296156160131,0.7590535536891538,30.24917168359266,2.3327792999591366
DEN,-2.8135841170323928,25.274792941635692,2.4297417199572227,-4.537329233250996,25.848361851975667,2.548993110969424,0.7814784727863525,30.447308060259363,2.1671852697872924,-1.2624880382775119,28.061787137412104,2.268436232246566
DFW,1.2615690168818272,30.30269919310673,2.1156991398683695,-3.50398332561371,25.55552876779145,2.5411072837928455,5.391690273843248,30.984865464735904,1.8525324848850317,0.7249456545849785,26.592024895976916,2.3416342033226156
DHN,4.695652173913044,20.83797840179123,1.0830090833480885,5.355140186915888,26.47043645934247,2.1753417078842165,-4.782608695652174,12.284345254832305,1.9330867002688075,2.8761061946902653,29.489747838190308,3.12331516391451
DIK,25.272727272727273,43.13024671640752,0.9138351726797472,8.0,35.0687156139887,1.5478764399757614,5.9,31.060693274083032,1.5839998905838921,13.44186046511628,31.885436536496155,1.2087933160118938
DLH,-1.0909090909090908,29.78591690154866,1.9420475585695272,0.31794871794871793,31.41510300478864,1.839269779570609,-8.023255813953488,28.64353028595681,2.1017343364666847,-0.12121212121212122,37.86799728047416,1.9933690463650615
DRO,-1.5443037974683544,23.93784551513615,1.3761226820556327,-3.552287581699346,24.43550650910206,2.815402471891893,10.89041095890411,36.267356627871465,2.124634768717066,4.734177215189874,29.920724403742053,2.2930859922783444
DSM,8.452205882352942,32.47317250262899,1.8861882609032263,2.082223962411903,30.00353122482762,2.268874673695756,-4.878504672897196,22.980308260704632,1.9885638754169186,2.07856093979442,29.594101945040684,2.18286471826515
DTW,2.015810276679842,29.02081174164016,2.229078124724791,-1.5789115646258503,30.35753276577755,2.202766833975357,-8.787308228730822,21.86011795246183,2.509852700484021,-3.5320851460534493,28.733233211124602,2.5042454884713217
DUT,11.91304347826087,13.142274064595243,0.45173532204959704,12.72289156626506,21.703834242022122,1.6300856149790692,23.444444444444443,16.272518913643083,1.2711575108396944,36.901234567901234,35.4498254361963,1.417837638159709
DVL,0.25,49.717611659158656,1.3333866160815167,-12.408163265306122,30.416496598164002,1.9605143125034863,-4.7,20.0723690679501,0.43026448634791464,-0.6818181818181818,28.25776100618116,1.4915892081200501
EAT,-2.3125,13.18948444784708,2.066473503532424,1.2025316455696202,20.136317328644857,2.4907392944924527,1.3076923076923077,12.874064566466117,0.9511310528588368,6.211764705882353,23.61703083916908,2.841036542161891
EAU,24.833333333333332,44.30233593950741,1.5365970400375286,7.98,32.19297045845219,1.9292409377968598,14.071428571428571,55.91540903036449,1.3170999956798304,13.7,47.33478248236767,1.4179334517381694
ECP,-0.53125,17.78796521104104,1.4660095453097737,-1.0863309352517985,23.558049361915813,2.603949926194283,6.540816326530612,31.367514999835183,2.002079000651879,0.11963882618510158,26.444112464443833,2.292690119949628
EGE,0.25210084033613445,27.210484796070855,2.850675817978097,-4.679723502304148,24.97252446618815,2.515143728028977,20.0,39.77213860040163,1.4332851965331759,8.307349665924276,32.83282825222961,1.7472112216495663
EKO,-11.6,12.231107881136525,0.7602397154378245,-9.25,17.488231336933925,0.9449473855419438,-10.692307692307692,12.73043999884146,0.4062484224837848,-9.849056603773585,14.355910370102855,0.8347869538936734
ELM,2.40625,40.37793982106502,2.557652121911063,2.1153846153846154,39.59748469340781,1.8170092467314307,-2.2291666666666665,38.0398668718912,2.3265904661323433,5.521327014218009,41.59559580786889,1.4522447118159236
ELP,3.814159292035398,27.570956979107226,2.171018138567626,-0.29705882352941176,25.74720011261268,2.439485589611012,7.5,27.87945750805414,1.534462048988367,0.5316622691292876,25.396284650844507,2.364297687993153
ERI,14.08108108108108,36.90406359616661,1.3983296693405214,-1.1550802139037433,35.97777858636717,2.015509830061536,-2.3,27.151238343577326,1.9714465979819074,3.8448275862068964,35.052463598231746,2.1143783638075355
