tail_num,frequency,relative_frequency
N261SY,3771,0.00023749519467426315
N624AE,3770,0.00023743221530680777
N7723E,3769,0.0002373692359393524
N506CA,3769,0.0002373692359393524
N822AE,3768,0.00023730625657189698
N231JB,3768,0.00023730625657189698
N7728D,3768,0.00023730625657189698
N904DE,3767,0.0002372432772044416
N908SW,3766,0.00023718029783698622
N260SY,3766,0.00023718029783698622
N519AE,3765,0.00023711731846953084
N745SW,3765,0.00023711731846953084
N910SW,3764,0.00023705433910207544
N602AE,3764,0.00023705433910207544
N247LR,3763,0.00023699135973462006
N880AS,3763,0.00023699135973462006
N477CA,3762,0.00023692838036716468
N907EV,3762,0.00023692838036716468
N184JB,3762,0.00023692838036716468
N732SW,3762,0.00023692838036716468
N407QX,3762,0.00023692838036716468
N697AB,3761,0.0002368654009997093
N979DL,3759,0.0002367394422647985
N936EV,3759,0.0002367394422647985
N7706A,3759,0.0002367394422647985
N665BC,3758,0.00023667646289734313
N982SW,3758,0.00023667646289734313
N7708E,3758,0.00023667646289734313
N108HQ,3757,0.00023661348352988775
N8903A,3754,0.0002364245454275216
N869AS,3754,0.0002364245454275216
N908DE,3754,0.0002364245454275216
N412WN,3753,0.0002363615660600662
N702SK,3752,0.0002362985866926108
N505AE,3751,0.00023623560732515542
N7752B,3751,0.00023623560732515542
N693BR,3751,0.00023623560732515542
N622AS,3750,0.00023617262795770004
N604AE,3750,0.00023617262795770004
N671AE,3750,0.00023617262795770004
N916DL,3747,0.00023598368985533388
N905SW,3747,0.00023598368985533388
N7710A,3747,0.00023598368985533388
N250SY,3747,0.00023598368985533388
N917FJ,3746,0.0002359207104878785
N744SW,3746,0.0002359207104878785
N353JB,3746,0.0002359207104878785
N868CA,3746,0.0002359207104878785
N612AS,3745,0.0002358577311204231
N732SK,3744,0.0002357947517529677
N449SW,3742,0.00023566879301805695
N203JB,3741,0.00023560581365060154
N7736A,3741,0.00023560581365060154
N326MS,3741,0.00023560581365060154
N7743B,3741,0.00023560581365060154
N943SW,3739,0.00023547985491569078
N659BR,3739,0.00023547985491569078
N133HQ,3738,0.0002354168755482354
N283JB,3738,0.0002354168755482354
N249JB,3737,0.00023535389618078
N728SK,3737,0.00023535389618078
N836AE,3737,0.00023535389618078
N292WN,3737,0.00023535389618078
