crs_dep_time,frequency,relative_frequency
1641,6159,0.0003866900518192295
1652,6156,0.0003865016981651529
1017,6153,0.0003863133445110763
1604,6146,0.00038587385265156427
1032,6144,0.00038574828354884656
751,6135,0.00038518322258661677
1406,6135,0.00038518322258661677
1244,6134,0.00038512043803525794
1133,6131,0.00038493208438118134
1458,6128,0.00038474373072710475
1504,6113,0.0003838019624567218
1208,6111,0.0003836763933540041
1413,6108,0.0003834880396999275
1834,6107,0.0003834252551485687
839,6107,0.0003834252551485687
846,6094,0.00038260905598090346
948,6093,0.0003825462714295446
2026,6087,0.00038216956412139144
1902,6085,0.00038204399501867367
844,6083,0.00038191842591595596
1603,6075,0.00038141614950508505
1842,6070,0.0003811022267482908
1334,6067,0.0003809138730942142
1137,6065,0.0003807883039914965
1143,6063,0.0003806627348887787
1333,6062,0.0003805999503374199
1802,6056,0.0003802232430292667
1014,6051,0.0003799093202724724
1728,6047,0.00037965818206703696
1653,6047,0.00037965818206703696
1251,6043,0.0003794070438616015
1343,6038,0.00037909312110480717
1718,6036,0.00037896755200208946
1336,6027,0.0003784024910398597
1228,6014,0.0003775862918721945
1234,6012,0.0003774607227694768
1124,6005,0.00037702123090996477
819,5993,0.00037626781629365843
1944,5990,0.00037607946263958184
1957,5989,0.00037601667808822295
1648,5988,0.0003759538935368641
931,5985,0.00037576553988278753
1438,5982,0.00037557718622871093
1914,5981,0.00037551440167735205
1658,5968,0.0003746982025096869
1447,5967,0.000374635417958328
1612,5963,0.0003743842797528926
1411,5954,0.0003738192187906628
954,5950,0.00037356808058522736
1018,5947,0.00037337972693115076
1552,5936,0.0003726890968662033
1016,5934,0.00037256352776348555
924,5928,0.0003721868204553324
1332,5926,0.0003720612513526147
1907,5925,0.0003719984668012558
831,5922,0.0003718101131471792
1801,5910,0.0003710566985308729
1642,5909,0.00037099391397951405
1128,5908,0.00037093112942815517
1038,5906,0.00037080556032543745
1619,5904,0.00037067999122271974
836,5902,0.000370554422120002
1909,5888,0.00036967543840097793
1433,5888,0.00036967543840097793
1601,5885,0.00036948708474690133
934,5859,0.00036785468641157095
1037,5846,0.00036703848724390574
1203,5845,0.00036697570269254685
1123,5827,0.0003658455807680874
1803,5827,0.0003658455807680874
1858,5820,0.00036540608890857536
1142,5819,0.0003653433043572165
1443,5818,0.0003652805198058576
1703,5815,0.00036509216615178105
1126,5808,0.00036465267429226897
1904,5804,0.00036440153608683354
1953,5802,0.00036427596698411583
1812,5787,0.0003633341987137329
1139,5781,0.0003629574914055797
1022,5776,0.0003626435686487854
1036,5769,0.0003622040767892734
1453,5768,0.00036214129223791455
914,5765,0.00036195293858383795
1108,5747,0.0003608228166593784
1952,5745,0.0003606972475566607
1721,5736,0.000360132186594431
1901,5734,0.0003600066174917132
1337,5731,0.00035981826383763666
1134,5724,0.0003593787719781246
937,5716,0.00035887649556725373
1513,5700,0.0003578719427455119
1317,5694,0.00035749523543735873
2034,5684,0.00035686738992377016
1502,5684,0.00035686738992377016
1826,5680,0.0003566162517183347
1446,5669,0.00035592562165338723
1451,5668,0.00035586283710202835
1946,5665,0.00035567448344795175
2004,5662,0.00035548612979387516
1023,5660,0.00035536056069115744
1132,5660,0.00035536056069115744
953,5655,0.00035504663793436313
1407,5649,0.00035466993062621
943,5646,0.0003544815769721334
906,5619,0.00035278639408544413
833,5615,0.00035253525588000865
1322,5605,0.00035190741036642003
1507,5604,0.0003518446258150612
1213,5584,0.00035058893478788397
1906,5583,0.0003505261502365251
1637,5579,0.00035027501203108966
826,5575,0.00035002387382565423
608,5574,0.00034996108927429535
1338,5567,0.0003495215974147833
932,5563,0.00034927045920934784
1607,5548,0.00034832869093896497
922,5547,0.0003482659063876061
1833,5543,0.00034801476818217066
1822,5537,0.00034763806087401746
912,5529,0.00034713578446314656
1557,5528,0.00034707299991178773
1912,5518,0.0003464451543981991
1831,5509,0.0003458800934359693
1733,5509,0.0003458800934359693
2016,5508,0.0003458173088846105
909,5504,0.000345566170679175
1339,5496,0.00034506389426830416
1723,5485,0.00034437326420335665
918,5482,0.00034418491054928006
1823,5479,0.00034399655689520346
1452,5478,0.00034393377234384463
1942,5471,0.0003434942804843326
1947,5457,0.0003426152967653085
1313,5444,0.00034179909759764334
1021,5426,0.0003406689756731838
902,5424,0.0003405434065704661
703,5420,0.0003402922683650306
834,5415,0.0003399783456082363
1726,5412,0.0003397899919541597
1908,5411,0.0003397272074028009
1926,5396,0.00033878543913241796
1846,5395,0.0003387226545810591
1643,5372,0.0003372786098998053
1724,5369,0.0003370902562457287
2310,5349,0.00033583456521855146
1508,5341,0.00033533228880768055
1727,5338,0.00033514393515360395
2002,5326,0.0003343905205372976
709,5320,0.0003340138132291445
2320,5319,0.0003339510286777856
1613,5313,0.0003335743213696324
2001,5307,0.00033319761406147927
938,5304,0.00033300926040740267
1209,5296,0.00033250698399653176
1113,5278,0.0003313768620720723
926,5262,0.0003303723092503305
1318,5256,0.00032999560194217734
1939,5254,0.00032987003283945957
1404,5253,0.00032980724828810074
708,5253,0.00032980724828810074
1827,5250,0.00032961889463402414
928,5250,0.00032961889463402414
1503,5245,0.00032930497187722983
1821,5243,0.0003291794027745121
921,5238,0.0003288654800177178
849,5233,0.0003285515572609235
1916,5231,0.0003284259881582058
1713,5229,0.000328300419055488
816,5209,0.00032704472802831084
1941,5201,0.00032654245161743993
1043,5200,0.00032647966706608105
1923,5197,0.00032629131341200445
1651,5182,0.0003253495451416215
2039,5170,0.0003245961305253152
1921,5165,0.0003242822077685209
1841,5133,0.0003222731021250373
1039,5127,0.00032189639481688417
609,5125,0.0003217708257141664
2129,5121,0.00032151968750873097
1936,5116,0.00032120576475193666
1928,5111,0.00032089184199514235
724,5095,0.0003198872891734006
857,5077,0.00031875716724894107
1403,5071,0.0003183804599407879
1911,5068,0.00031819210628671133
856,5044,0.0003166852770540986
1852,5036,0.0003161830006432277
1013,5030,0.00031580629333507456
907,5017,0.00031499009416740935
1838,5016,0.0003149273096160505
847,5008,0.0003144250332051796
726,5008,0.0003144250332051796
1924,4988,0.0003131693421780024
2345,4977,0.00031247871211305487
841,4976,0.00031241592756169604
1837,4975,0.00031235314301033716
852,4967,0.00031185086659946625
917,4962,0.00031153694384267194
832,4954,0.0003110346674318011
707,4953,0.0003109718828804422
837,4950,0.0003107835292263656
1848,4948,0.0003106579601236479
2012,4939,0.00031009289916141816
927,4934,0.00030977897640462385
913,4932,0.0003096534073019061
1323,4915,0.00030858606992880544
822,4908,0.0003081465780692934
933,4908,0.0003081465780692934
706,4875,0.000306074687874451
811,4847,0.00030431672043640287
858,4844,0.00030412836678232627
2011,4834,0.00030350052126873765
904,4828,0.0003031238139605845
2224,4825,0.0003029354603065079
1903,4817,0.000302433183895637
747,4817,0.000302433183895637
1617,4813,0.0003021820456902016
1847,4796,0.0003011147083171009
1931,4788,0.00030061243190623003
1932,4788,0.00030061243190623003
821,4767,0.0002992939563276939
923,4755,0.0002985405417113876
736,4752,0.000298352188057311
1948,4751,0.00029828940350595215
614,4746,0.00029797548074915784
2006,4725,0.0002966570051706217
842,4722,0.0002964686515165451
1919,4709,0.00029565245234887996
1937,4709,0.00029565245234887996
607,4705,0.0002954013141434445
712,4701,0.00029515017593800905
1927,4697,0.00029489903773257357
559,4690,0.00029445954587306155
1938,4689,0.0002943967613217027
2305,4688,0.00029433397677034384
838,4681,0.0002938944849108318
749,4680,0.00029383170035947293
1943,4668,0.0002930782857431666
714,4668,0.0002930782857431666
711,4650,0.00029194816381870707
939,4638,0.00029119474920240074
734,4621,0.0002901274118293001
754,4599,0.00028874615169940514
1917,4595,0.0002884950134939697
843,4593,0.000288369444391252
1922,4586,0.0002879299525317399
2017,4576,0.0002873021070181513
757,4535,0.000284727940412438
1934,4533,0.0002846023713097203
658,4508,0.00028303275752574874
1618,4502,0.00028265605021759554
744,4491,0.0002819654201526481
1616,4485,0.0002815887128444949
738,4483,0.0002814631437417772
2036,4480,0.0002812747900877006
908,4418,0.00027738214790345116
916,4414,0.00027713100969801573
606,4395,0.0002759381032221974
2041,4390,0.00027562418046540307
824,4383,0.000275184688605891
1918,4378,0.0002748707658490967
851,4370,0.00027436848943822583
2046,4361,0.00027380342847599604
731,4357,0.0002735522902705606
827,4352,0.0002732383675137663
823,4320,0.00027122926187028273
854,4315,0.0002709153391134884
611,4314,0.00027085255456212954
2007,4308,0.0002704758472539764
2032,4307,0.0002704130627026175
612,4306,0.0002703502781512587
2008,4305,0.0002702874935998998
848,4305,0.0002702874935998998
853,4280,0.00026871787981592825
746,4273,0.00026827838795641623
802,4255,0.0002671482660319567
1828,4254,0.00026708548148059787
501,4249,0.00026677155872380356
817,4242,0.0002663320668642915
616,4239,0.00026614371321021494
809,4227,0.00026539029859390856
807,4220,0.00026495080673439653
2031,4208,0.0002641973921180902
2109,4199,0.00026363233115586046
656,4176,0.00026218828647460663
719,4171,0.0002618743637178123
828,4168,0.0002616860100637357
814,4145,0.00026024196538248194
1853,4142,0.00026005361172840534
728,4140,0.00025992804262568763
654,4136,0.00025967690442025215
804,4135,0.0002596141198688933
803,4132,0.0002594257662148167
718,4131,0.00025936298166345784
619,4126,0.00025904905890666353
1933,4124,0.0002589234898039458
741,4115,0.0002583584288417161
903,4114,0.0002582956442903572
752,4077,0.0002559726158900793
727,4070,0.0002555331240305673
2259,4066,0.00025528198582513187
627,4058,0.00025477970941426096
732,4054,0.0002545285712088255
651,4049,0.00025421464845203117
2027,4038,0.0002535240183870837
2114,4037,0.00025346123383572484
626,4033,0.0002532100956302894
2234,4029,0.00025295895742485393
624,4025,0.0002527078192194185
717,4006,0.00025151491274360015
1913,3997,0.00025094985178137036
2022,3994,0.0002507614981272938
2049,3978,0.000249756945305552
806,3955,0.00024831290062429817
2340,3926,0.0002464921486348912
911,3915,0.00024580151856994374
2239,3910,0.00024548759581314943
2023,3893,0.00024442025844004873
739,3886,0.00024398076658053674
758,3886,0.00024398076658053674
2018,3845,0.0002414065999748234
812,3840,0.0002410926772180291
617,3812,0.00023933470977998095
2044,3790,0.000237953449650086
2112,3779,0.00023726281958513852
2013,3775,0.00023701168137970307
2118,3771,0.00023676054317426764
737,3758,0.00023594434400660242
756,3754,0.00023569320580116697
