mkt_carrier_fl_num,frequency,relative_frequency
3322,2755,0.0001729714389936641
5689,2754,0.00017290865444230524
5298,2753,0.00017284586989094636
2767,2751,0.00017272030078822865
1529,2751,0.00017272030078822865
5224,2751,0.00017272030078822865
1356,2750,0.0001726575162368698
2491,2750,0.0001726575162368698
1315,2748,0.00017253194713415208
1691,2748,0.00017253194713415208
4589,2747,0.0001724691625827932
3389,2747,0.0001724691625827932
2263,2747,0.0001724691625827932
1643,2747,0.0001724691625827932
5044,2746,0.00017240637803143434
2624,2745,0.00017234359348007548
5214,2745,0.00017234359348007548
906,2743,0.00017221802437735777
2306,2742,0.00017215523982599888
6005,2742,0.00017215523982599888
5329,2742,0.00017215523982599888
5343,2741,0.00017209245527464003
1968,2741,0.00017209245527464003
142,2740,0.00017202967072328117
2501,2740,0.00017202967072328117
3442,2740,0.00017202967072328117
1483,2739,0.00017196688617192231
186,2739,0.00017196688617192231
1112,2739,0.00017196688617192231
1941,2738,0.00017190410162056346
5242,2738,0.00017190410162056346
4792,2738,0.00017190410162056346
3394,2737,0.00017184131706920457
3369,2737,0.00017184131706920457
585,2736,0.00017177853251784572
5323,2736,0.00017177853251784572
1532,2736,0.00017177853251784572
3649,2734,0.000171652963415128
5431,2734,0.000171652963415128
5277,2734,0.000171652963415128
2630,2733,0.00017159017886376915
5243,2732,0.00017152739431241026
2422,2732,0.00017152739431241026
3446,2730,0.00017140182520969255
6012,2730,0.00017140182520969255
844,2729,0.0001713390406583337
3341,2728,0.00017127625610697484
2580,2728,0.00017127625610697484
3436,2727,0.00017121347155561595
2601,2726,0.0001711506870042571
4723,2726,0.0001711506870042571
5450,2725,0.00017108790245289824
3448,2725,0.00017108790245289824
5697,2725,0.00017108790245289824
5442,2724,0.00017102511790153939
1350,2724,0.00017102511790153939
3943,2723,0.00017096233335018053
3677,2723,0.00017096233335018053
747,2722,0.00017089954879882167
3486,2722,0.00017089954879882167
5035,2720,0.00017077397969610393
1390,2720,0.00017077397969610393
1091,2719,0.00017071119514474508
5831,2719,0.00017071119514474508
3489,2718,0.00017064841059338622
5691,2718,0.00017064841059338622
1428,2717,0.00017058562604202736
3941,2716,0.00017052284149066848
3529,2715,0.00017046005693930962
2634,2715,0.00017046005693930962
5694,2714,0.00017039727238795077
1063,2714,0.00017039727238795077
2612,2714,0.00017039727238795077
5696,2709,0.00017008334963115646
3566,2709,0.00017008334963115646
5479,2708,0.0001700205650797976
3320,2708,0.0001700205650797976
5321,2708,0.0001700205650797976
1512,2707,0.00016995778052843874
5435,2706,0.00016989499597707986
5731,2706,0.00016989499597707986
1577,2706,0.00016989499597707986
5057,2706,0.00016989499597707986
1005,2706,0.00016989499597707986
2407,2706,0.00016989499597707986
359,2705,0.000169832211425721
1336,2705,0.000169832211425721
2809,2705,0.000169832211425721
1429,2705,0.000169832211425721
5764,2704,0.00016976942687436215
221,2703,0.0001697066423230033
5272,2702,0.00016964385777164443
2527,2701,0.00016958107322028558
3809,2700,0.0001695182886689267
3342,2700,0.0001695182886689267
5802,2700,0.0001695182886689267
1037,2700,0.0001695182886689267
1145,2699,0.00016945550411756784
3478,2699,0.00016945550411756784
1514,2697,0.00016932993501485012
1479,2696,0.00016926715046349127
925,2696,0.00016926715046349127
242,2696,0.00016926715046349127
118,2696,0.00016926715046349127
1627,2695,0.00016920436591213238
1444,2695,0.00016920436591213238
1468,2695,0.00016920436591213238
884,2695,0.00016920436591213238
1405,2693,0.00016907879680941467
2608,2693,0.00016907879680941467
2510,2692,0.0001690160122580558
211,2692,0.0001690160122580558
5065,2691,0.00016895322770669696
378,2691,0.00016895322770669696
2266,2690,0.00016889044315533807
5264,2689,0.00016882765860397922
1706,2689,0.00016882765860397922
3665,2688,0.00016876487405262036
1608,2687,0.0001687020895012615
1080,2687,0.0001687020895012615
998,2687,0.0001687020895012615
3352,2686,0.00016863930494990265
3764,2686,0.00016863930494990265
289,2685,0.00016857652039854376
5724,2685,0.00016857652039854376
1340,2685,0.00016857652039854376
2277,2685,0.00016857652039854376
3400,2684,0.0001685137358471849
3580,2683,0.00016845095129582605
5036,2683,0.00016845095129582605
5752,2683,0.00016845095129582605
2259,2683,0.00016845095129582605
1624,2683,0.00016845095129582605
2574,2682,0.0001683881667444672
1435,2682,0.0001683881667444672
2287,2681,0.00016832538219310834
5114,2681,0.00016832538219310834
3582,2681,0.00016832538219310834
1434,2681,0.00016832538219310834
885,2680,0.00016826259764174945
1362,2680,0.00016826259764174945
1516,2679,0.0001681998130903906
2495,2678,0.00016813702853903174
3473,2678,0.00016813702853903174
3420,2678,0.00016813702853903174
1654,2678,0.00016813702853903174
3450,2677,0.00016807424398767288
5811,2677,0.00016807424398767288
5141,2676,0.00016801145943631403
1310,2676,0.00016801145943631403
229,2676,0.00016801145943631403
1838,2675,0.00016794867488495517
5101,2675,0.00016794867488495517
879,2675,0.00016794867488495517
2320,2674,0.0001678858903335963
1278,2674,0.0001678858903335963
2408,2673,0.00016782310578223743
1414,2672,0.00016776032123087857
1934,2670,0.00016763475212816086
100,2670,0.00016763475212816086
5740,2669,0.00016757196757680198
1079,2669,0.00016757196757680198
46,2669,0.00016757196757680198
120,2668,0.00016750918302544312
1451,2668,0.00016750918302544312
3416,2667,0.00016744639847408426
6010,2667,0.00016744639847408426
3599,2666,0.0001673836139227254
3830,2666,0.0001673836139227254
1650,2665,0.00016732082937136655
