origin_airport_id,frequency,relative_frequency
11952,1028,0.0004373543127262022
10685,1024,0.0004356525449724037
15245,1023,0.0004352271030339541
10846,1015,0.0004318235675263572
10638,1014,0.0004313981255879076
11118,1012,0.00043054724171100834
15013,1008,0.0004288454739572099
12184,1007,0.0004284200320187603
10247,1006,0.0004279945900803107
13269,1005,0.00042756914814186107
15049,1002,0.0004262928223265122
11411,985,0.0004190603093728688
13218,979,0.0004165076577421711
13433,973,0.00041395500611147345
10208,972,0.00041352956417302383
11140,971,0.0004131041222345742
11845,965,0.00041055147060387655
14210,964,0.00041012602866542694
11455,960,0.00040842426091162846
12615,959,0.00040799881897317884
11898,957,0.00040714793509627966
13422,953,0.0004054461673424812
10521,944,0.0004016171898964347
12652,940,0.0003999154221426362
12171,937,0.0003986390963272874
16078,932,0.0003965118866350393
13502,921,0.00039183202531209357
11122,910,0.0003871521639891478
12815,899,0.00038247230266620207
15027,896,0.00038119597685085327
14633,888,0.0003777924413432563
14474,888,0.0003777924413432563
15323,870,0.0003701344864511633
12544,858,0.00036502918318976794
10517,855,0.00036375285737441914
16085,842,0.00035822211217457415
12280,838,0.0003565203444207757
13476,834,0.00035481857666697726
14711,833,0.00035439313472852764
15293,830,0.0003531168089131788
13541,828,0.00035226592503627955
15258,824,0.00035056415728248113
10372,823,0.0003501387153440315
11244,814,0.000346309737897985
12868,808,0.0003437570862672873
11953,803,0.00034162987657503926
14880,801,0.00034077899269814
14098,798,0.00033950266688279117
13277,795,0.0003382263410674423
15092,790,0.0003360991313751943
13360,787,0.0003348228055598454
16477,782,0.0003326955958675974
14282,778,0.0003309938281137989
11555,776,0.00033014294423689967
12395,770,0.000327590292606202
12755,770,0.000327590292606202
12169,764,0.0003250376409755043
12721,759,0.00032291043128325627
14918,752,0.000319932337714109
10661,748,0.0003182305699603105
11625,744,0.00031652880220651205
12402,737,0.0003135507086373648
11641,736,0.00031312526669891516
11028,733,0.0003118489408835663
10056,730,0.0003105726150682175
11413,725,0.0003084454053759694
13295,722,0.0003071690795606206
11203,717,0.0003050418698683725
10775,714,0.00030376554405302366
14081,714,0.00030376554405302366
14256,713,0.00030334010211457405
10469,713,0.00030334010211457405
10752,713,0.00030334010211457405
13467,707,0.0003007874504838764
10312,707,0.0003007874504838764
12253,707,0.0003007874504838764
10961,706,0.00030036200854542677
10575,704,0.00029951112466852754
13694,704,0.00029951112466852754
15124,701,0.00029823479885317873
10357,701,0.00029823479885317873
13560,701,0.00029823479885317873
13113,701,0.00029823479885317873
11049,699,0.0002973839149762795
