month,year,carrier,total_gallons
1,2017,F9,18870467
2,2017,F9,16526900
3,2017,F9,18790131
4,2017,F9,18652207
5,2017,F9,20112257
6,2017,F9,20723521
7,2017,F9,22292839
8,2017,F9,21545784
9,2017,F9,19609531
10,2017,F9,21509022
11,2017,F9,21041441
12,2017,F9,22205074
1,2018,F9,22206391
2,2018,F9,20163955
3,2018,F9,21438371
4,2018,F9,21089364
5,2018,F9,22315422
6,2018,F9,22096787
7,2018,F9,22419797
8,2018,F9,22889818
9,2018,F9,21150675
10,2018,F9,21816709
11,2018,F9,21315382
12,2018,F9,22195128
1,2019,F9,21842481
2,2019,F9,20082594
3,2019,F9,22140202
4,2019,F9,21622508
5,2019,F9,24591649
6,2019,F9,24596330
7,2019,F9,26676552
8,2019,F9,26032547
9,2019,F9,24188904
1,2015,FCQ,114398
2,2015,FCQ,36398
3,2015,FCQ,169651
1,2015,FX,92522570
2,2015,FX,86405903
3,2015,FX,93340611
4,2015,FX,93297251
5,2015,FX,90621506
6,2015,FX,88825884
7,2015,FX,94388028
8,2015,FX,88394637
9,2015,FX,89688508
10,2015,FX,94482894
11,2015,FX,87628851
12,2015,FX,109771233
1,2016,FX,88713921
2,2016,FX,84288159
3,2016,FX,98487077
4,2016,FX,92095004
5,2016,FX,89515467
6,2016,FX,92488481
7,2016,FX,90794613
8,2016,FX,93368352
9,2016,FX,90585315
10,2016,FX,91921777
11,2016,FX,94692621
12,2016,FX,108339193
1,2017,FX,91096231
2,2017,FX,84828338
3,2017,FX,101281769
4,2017,FX,93372724
5,2017,FX,95993283
6,2017,FX,96719275
7,2017,FX,92766262
8,2017,FX,101753303
9,2017,FX,95801784
10,2017,FX,98566651
11,2017,FX,103025938
12,2017,FX,109744410
1,2018,FX,95932133
2,2018,FX,91503290
3,2018,FX,102762136
4,2018,FX,93075082
5,2018,FX,100255770
6,2018,FX,97780314
7,2018,FX,94493414
8,2018,FX,101305201
9,2018,FX,95333355
10,2018,FX,103132330
11,2018,FX,105424004
12,2018,FX,110256966
1,2019,FX,102433846
2,2019,FX,91273323
3,2019,FX,101332662
4,2019,FX,97834857
5,2019,FX,104114388
6,2019,FX,96506510
7,2019,FX,97439638
8,2019,FX,100380202
9,2019,FX,92489207
1,2015,G4,10542221
2,2015,G4,10759142
3,2015,G4,14700823
4,2015,G4,12232341
5,2015,G4,11747610
6,2015,G4,14380696
7,2015,G4,16007770
8,2015,G4,12825543
9,2015,G4,8684843
10,2015,G4,11672418
11,2015,G4,12449136
12,2015,G4,13948952
1,2016,G4,12264170
2,2016,G4,12815963
3,2016,G4,16442818
4,2016,G4,13408496
5,2016,G4,13615505
6,2016,G4,17128733
7,2016,G4,18352864
8,2016,G4,14225856
9,2016,G4,11608073
10,2016,G4,13580127
11,2016,G4,13489524
12,2016,G4,15863821
1,2017,G4,14466463
2,2017,G4,14160937
3,2017,G4,18222665
4,2017,G4,15957439
5,2017,G4,15460025
6,2017,G4,18440370
7,2017,G4,18881989
8,2017,G4,14662825
9,2017,G4,10801631
10,2017,G4,14985776
11,2017,G4,14363349
12,2017,G4,16159401
