fl_date,mkt_unique_carrier,branded_code_share,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,origin_city_name,dest_airport_id,dest,dest_city_name,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,dup,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,first_dep_time,total_add_gtime,longest_add_gtime,no_name
2019-11-14,UA,UA_CODESHARE,UA,4126,EV,N12569,4126,12206,HRL,"Harlingen/San Benito, TX",12266,IAH,"Houston, TX",1210,1200,-10,14,1214,1310,6,1325,1316,-9,0,,0,N,75,76,56,1,295,,,,,,,,,
2018-07-06,AS,AS_CODESHARE,AS,2634,QX,N628QX,2634,14057,PDX,"Portland, OR",14747,SEA,"Seattle, WA",2130,2124,-6,18,2142,2220,7,2221,2227,6,0,,0,N,51,63,38,1,129,,,,,,,,,
2018-04-25,WN,WN,WN,642,WN,N8653A,642,14893,SMF,"Sacramento, CA",14679,SAN,"San Diego, CA",715,723,8,19,742,854,2,840,856,16,0,,0,N,85,93,72,1,480,8,0,8,0,0,,,,
2018-07-11,UA,UA_CODESHARE,UA,5770,OO,N884AS,5770,11921,GJT,"Grand Junction, CO",11292,DEN,"Denver, CO",1707,1706,-1,13,1719,1803,11,1813,1814,1,0,,0,N,66,68,44,1,212,,,,,,,,,
2019-03-18,DL,DL,DL,2508,DL,N954AT,2508,11618,EWR,"Newark, NJ",10397,ATL,"Atlanta, GA",930,922,-8,22,944,1142,6,1201,1148,-13,0,,0,N,151,146,118,1,746,,,,,,,,,
2019-03-26,AA,AA,AA,700,AA,N349AN,700,14771,SFO,"San Francisco, CA",14100,PHL,"Philadelphia, PA",809,818,9,56,914,1701,7,1631,1708,37,0,,0,N,322,350,287,1,2521,9,0,28,0,0,,,,
2018-01-30,DL,DL_CODESHARE,DL,4582,OO,N921EV,4582,11433,DTW,"Detroit, MI",11003,CID,"Cedar Rapids/Iowa City, IA",2020,2019,-1,20,2039,2056,3,2126,2059,-27,0,,0,N,126,100,77,1,430,,,,,,,,,
2018-10-14,DL,DL_CODESHARE,DL,6232,G7,N656CA,6232,11433,DTW,"Detroit, MI",15016,STL,"St. Louis, MO",1215,1210,-5,18,1228,1240,6,1257,1246,-11,0,,0,N,102,96,72,1,440,,,,,,,,,
2018-08-09,UA,UA_CODESHARE,UA,5584,OO,N143SY,5584,14771,SFO,"San Francisco, CA",15041,SUN,"Sun Valley/Hailey/Ketchum, ID",1705,1707,2,28,1735,1956,4,2002,2000,-2,0,,0,N,117,113,81,1,587,,,,,,,,,
2019-10-08,AA,AA,AA,2273,AA,N962NN,2273,12953,LGA,"New York, NY",13930,ORD,"Chicago, IL",1230,1244,14,15,1259,1352,16,1421,1408,-13,0,,0,N,171,144,113,1,733,,,,,,,,,
2019-02-23,WN,WN,WN,3879,WN,N8303R,3879,13851,OKC,"Oklahoma City, OK",12889,LAS,"Las Vegas, NV",1415,1417,2,8,1425,1451,2,1505,1453,-12,0,,0,N,170,156,146,1,986,,,,,,,,,
2018-10-11,AS,AS_CODESHARE,AS,3390,OO,N178SY,3390,14057,PDX,"Portland, OR",10800,BUR,"Burbank, CA",1106,1105,-1,7,1112,1303,5,1320,1308,-12,0,,0,N,134,123,111,1,817,,,,,,,,,
2018-05-09,AA,AA_CODESHARE,AA,5820,YV,N924FJ,5820,11298,DFW,"Dallas/Fort Worth, TX",14730,SDF,"Louisville, KY",1240,1235,-5,15,1250,1527,7,1549,1534,-15,0,,0,N,129,119,97,1,733,,,,,,,,,
2018-04-01,UA,UA,UA,307,UA,N463UA,307,14679,SAN,"San Diego, CA",13930,ORD,"Chicago, IL",615,609,-6,22,631,1142,3,1220,1145,-35,0,,0,N,245,216,191,1,1723,,,,,,,,,
2018-12-31,AS,AS,AS,192,AS,N619AS,192,11630,FAI,"Fairbanks, AK",10299,ANC,"Anchorage, AK",1147,1140,-7,9,1149,1238,6,1254,1244,-10,0,,0,N,67,64,49,1,261,,,,,,,,,
2019-07-07,AA,AA_CODESHARE,AA,5331,OH,N548NN,5331,14307,PVD,"Providence, RI",11057,CLT,"Charlotte, NC",1349,1346,-3,16,1402,1547,12,1608,1559,-9,0,,0,N,139,133,105,1,683,,,,,,,,,
2019-08-19,UA,UA,UA,1098,UA,N485UA,1098,11618,EWR,"Newark, NJ",13204,MCO,"Orlando, FL",730,721,-9,15,736,935,4,1006,939,-27,0,,0,N,156,138,119,1,937,,,,,,,,,
2018-05-15,AA,AA,AA,2297,AA,N7541A,2297,11298,DFW,"Dallas/Fort Worth, TX",13342,MKE,"Milwaukee, WI",655,,,,,,,912,,,1,B,0,N,137,,,1,853,,,,,,,,,
